key,text
dialogue_choices.dch_dlg_son_rumor_soft.label,Say half—let him fill blanks
dialogue_choices.dch_dlg_su_guide_cold.label,Demand results; skip the softness
dialogue_choices.dch_dlg_su_guide_ok.label,Promise to protect her
dialogue_choices.dch_dlg_su_office_calm.label,Hold your temper and leave
dialogue_choices.dch_dlg_su_office_jab.label,Throw a cold jab at Shaoting
dialogue_choices.dch_dlg_su_talk_press.label,Press her about Shaoting
dialogue_choices.dch_dlg_su_talk_scheme.label,Hint she should watch the father–son rift
dialogue_choices.dch_dlg_su_talk_soft.label,Speak gently; ask about the Zhous
dialogue_choices.dch_dlg_white_knight_hesitate.label,Shake hands—no deposit yet
dialogue_choices.dch_dlg_white_knight_ok.label,Leave a token of contact
dialogue_line_variants.var_boss_blame_l03_watch.text,Hmph. Backbone—don't wander. Someone's watching you.
dialogue_line_variants.var_boss_flatter_l02_watch.text,"I keep my work clean.—If you send a tail, they'll see."
dialogue_line_variants.var_boss_flatter_l03_hightrust.text,"Sensible. Ah-Hai, you understand more than Shaoting—don't repeat that."
dialogue_line_variants.var_boss_task_l01_hightrust.text,I trust your hands. This errand is yours.
dialogue_line_variants.var_broker_l01_money.text,An extra hot tea appears—aimed at your pocket.
dialogue_line_variants.var_broker_l02_elite.text,"The broker looks up: ""Hongyuan's price… as if smashed for your eyes."""
dialogue_line_variants.var_chen_hire_l01_sold.text,Only sellers get to talk seats.
dialogue_line_variants.var_chen_lobby_l02_known.text,You again. Manifests this time—or just nerve?
dialogue_line_variants.var_chen_sell_l01_ally.text,"Chen smiles: 'Among our own, the price can be kinder.'"
dialogue_line_variants.var_chen_sell_l03_ally.text,Tongyang wants dogs that bite. You've shown teeth.
dialogue_line_variants.var_co_eaves_l02_tension.text,Father and son? The fire's at the door.
dialogue_line_variants.var_co_frame_l02_framed.text,Not the first time. Pots roll themselves.
dialogue_line_variants.var_dock_chat_l02_lowmoney.text,"When cash is tight, words shrink."
dialogue_line_variants.var_dock_chat_l03_hostile.text,Someone chuckles: 'He was named by the VP—and still asks?'
dialogue_line_variants.var_dock_steal_l02_suspect.text,One page… don't let them see your cuff.
dialogue_line_variants.var_ex_buy_l02_low.text,Buy the rise. But the pocket's thin—is this a bet or a gift?
dialogue_line_variants.var_ex_lev_l02_used.text,Again? The counter smile deepens.
dialogue_line_variants.var_ex_short_l02_lev.text,I bet the fall. Leverage's still on my neck—too little drop can still choke.
dialogue_line_variants.var_home_guide_l04_leak.text,She nods: 'About the key—I can listen more carefully.'
dialogue_line_variants.var_home_plan_l02_b.text,Endure. Divide. Feed the crack.
dialogue_line_variants.var_home_rest_l02_watch.text,Play innocent tomorrow—and pretend not to see the eyes behind.
dialogue_line_variants.var_rival_hijack_l02_a.text,Show the seam—haven't you already picked a side?
dialogue_line_variants.var_son_meet_l01_hostile.text,You again? Even Hongyuan's rats climb stairs now?
dialogue_line_variants.var_son_meet_l01_hostile_flag.text,Shaoting taps the desk: 'A foreman dares linger in my sight?'
dialogue_line_variants.var_son_meet_l02_tension.text,The VP is burning today. I'll keep quiet.
dialogue_line_variants.var_son_rumor_l04_tension.text,Good. You talk well. I'll throw the books in his face.
dialogue_line_variants.var_su_guide_l02_high.text,I trust you. But you must protect me.
dialogue_line_variants.var_su_guide_l02_low.text,"Ah-Hai, you're scarier now.… I'm afraid."
dialogue_line_variants.var_su_office_l02_intimacy.text,Ah-Hai? Shaoting said… he'll walk me home later.
dialogue_line_variants.var_su_talk_l01_gift.text,"A-Hai, the box… I put it in the cabinet. Don't be angry."
dialogue_line_variants.var_su_talk_l01_leak.text,A-Hai… I heard about the ledger key today. Don't ask how.
dialogue_line_variants.var_su_talk_l02_high.text,I'm fine. You've grown thin.… Has Shaoting bothered you?
dialogue_line_variants.var_su_talk_l02_low.text,Fine. You've been… close to Shaoting lately.
dialogue_line_variants.var_su_talk_l03_betray.text,He… he said he'll send something dearer tomorrow. I don't know what to tell you.
dialogue_line_variants.var_su_talk_l03_drift.text,The foreign cloth is soft… don't look at me like that.
dialogue_line_variants.var_su_talk_l03_high.text,"When he gives gifts, I still think of you. Truly."
dialogue_line_variants.var_white_l02_short.text,"""Rotten enough—and your short helped. We enter."""
dialogue_lines.dlg_boss_blame_l01.text,The teacup hits the desk: 'Who takes this?' Breath in the office goes shallow.
dialogue_lines.dlg_boss_blame_l02.text,Mine. Don't drag the warehouse brothers in.
dialogue_lines.dlg_boss_blame_l03.text,"Hmph. Backbone—remember, backbone can become leverage."
dialogue_lines.dlg_boss_flatter_l01.text,Zhou Hongye looks up: 'More loyalty talk? Hongyuan needs shoulders—not tongues.'
dialogue_lines.dlg_boss_flatter_l02.text,I watched too loosely. I'll check the manifests myself.
dialogue_lines.dlg_boss_flatter_l03.text,Sensible. Hongyuan doesn't keep complainers.
dialogue_lines.dlg_boss_task_l01.text,A ship must catch the night tide. Watch it. Don't shame us.
dialogue_lines.dlg_boss_task_l02.text,Yes.
dialogue_lines.dlg_broker_l01.text,"In the tearoom, abacus beads out-talk the guests."
dialogue_lines.dlg_broker_l02.text,"A broker looks up: ""Hongyuan's price is a tide—someone pushes, someone falls."""
dialogue_lines.dlg_broker_l03.text,I want to know who pushes.
dialogue_lines.dlg_chen_hire_l01.text,"From today, you're Tongyang's. Don't look back at Hongyuan."
dialogue_lines.dlg_chen_hire_l02.text,I won't. I'll make them regret.
dialogue_lines.dlg_chen_hire_l03.text,Hate is useful. Don't let it burn your head.
dialogue_lines.dlg_chen_lobby_l01.text,Tongyang's brass plaque glares. Tide at the door sounds like another firm's breath.
dialogue_lines.dlg_chen_lobby_l02.text,Hongyuan man? Bold. What did you bring for a seat?
dialogue_lines.dlg_chen_lobby_l03.text,"I know the docks. Manifests, sailings—I can get them."
dialogue_lines.dlg_chen_sell_l01.text,I've seen the list. Real. Name your price.
dialogue_lines.dlg_chen_sell_l02.text,Money second. I want a footing that holds.
dialogue_lines.dlg_chen_sell_l03.text,Tongyang keeps no idlers. Sharp intel earns a chair.
dialogue_lines.dlg_co_bribe_acc_l01.text,A price flickers behind the accountant's lenses.
dialogue_lines.dlg_co_bribe_acc_l02.text,Holes can be sold. So can evidence.
dialogue_lines.dlg_co_bribe_acc_l03.text,Paper rustles like a gavel.
dialogue_lines.dlg_co_eavesdrop_l01.text,Teacups tap behind the screen. Gossip beats memos.
dialogue_lines.dlg_co_eavesdrop_l02.text,Father and son? Ledgers? Or promotions?
dialogue_lines.dlg_co_eavesdrop_l03.text,You assemble shards into a blade spine.
dialogue_lines.dlg_co_elder_l01.text,The elder takes the wine; his eyes loosen an inch.
dialogue_lines.dlg_co_elder_l02.text,Hongyuan feeds people—and wears them down. We both know.
dialogue_lines.dlg_co_elder_l03.text,He sighs like turning an old ledger page.
dialogue_lines.dlg_co_frame_l01.text,Blame flies. People start biting each other.
dialogue_lines.dlg_co_frame_l02.text,Not me—the books cracked themselves.
dialogue_lines.dlg_co_frame_l03.text,Hallway footsteps miss a beat.
dialogue_lines.dlg_co_peek_l01.text,The ledger crack is deeper than you thought.
dialogue_lines.dlg_co_peek_l02.text,This page… has Shaoting seen it? Hongye?
dialogue_lines.dlg_co_peek_l03.text,Numbers don't speak. They bite.
dialogue_lines.dlg_co_work_l01.text,"The brush goes stiff. Outside, other people laugh."
dialogue_lines.dlg_co_work_l02.text,Write yourself as 'reliable' first.
dialogue_lines.dlg_co_work_l03.text,Ink dries; ambition stays damp.
dialogue_lines.dlg_contact_corner_l01.text,"In the tide-smell, someone crushes a cigarette on a crate."
dialogue_lines.dlg_contact_corner_l02.text,"(Agent) The manager says: bring papers, or don't waste the night."
dialogue_lines.dlg_contact_corner_l03.text,Tell him—I'm listening.
dialogue_lines.dlg_dock_black_l01.text,The corner scale is missing a weight.
dialogue_lines.dlg_dock_black_l02.text,The cargo is hot. So are the people.
dialogue_lines.dlg_dock_black_l03.text,Silver lands; something watches the pan behind you.
dialogue_lines.dlg_dock_board_l01.text,"Ink on the board is still wet, cramped into one line."
dialogue_lines.dlg_dock_board_l02.text,Schedules shift again… first to know eats first.
dialogue_lines.dlg_dock_board_l03.text,You pin the wind into memory.
dialogue_lines.dlg_dock_bribe_l01.text,The clerk rubs his hands like rubbing a price.
dialogue_lines.dlg_dock_bribe_l02.text,Tea money… for a convenient 'I forget.'
dialogue_lines.dlg_dock_bribe_l03.text,Silver hits his pocket; news slips out first.
dialogue_lines.dlg_dock_chat_l01.text,A resting docker hides the cigarette in his palm.
dialogue_lines.dlg_dock_chat_l02.text,Who changed the night-shift order again?
dialogue_lines.dlg_dock_chat_l03.text,Someone chuckles without lifting his eyes.
dialogue_lines.dlg_dock_manifest_l01.text,The wind peels a corner of the manifest.
dialogue_lines.dlg_dock_manifest_l02.text,Tonnage doesn't match… and the ship name looks dirty.
dialogue_lines.dlg_dock_manifest_l03.text,You tuck the numbers under your tongue like a key.
dialogue_lines.dlg_dock_report_l01.text,The supervisor's tea is cold; his pen is sharp.
dialogue_lines.dlg_dock_report_l02.text,Today's loading is clear. Anomalies… on the addendum.
dialogue_lines.dlg_dock_report_l03.text,"He grunts—heard, at least."
dialogue_lines.dlg_dock_steal_l01.text,Light leaks from the warehouse door. The paper edge is too clean.
dialogue_lines.dlg_dock_steal_l02.text,One page… enough for one sentence.
dialogue_lines.dlg_dock_steal_l03.text,Your pulse stutters. Footsteps turn the corner.
dialogue_lines.dlg_dock_work_l01.text,Chants stack on chants. Brine works into your collar.
dialogue_lines.dlg_dock_work_l02.text,Two more loads… at least the wages are mine.
dialogue_lines.dlg_dock_work_l03.text,Shoulders burn. Someone shouts your old nickname.
dialogue_lines.dlg_ex_buy_l01.text,The hall board ticks. A long is tide pressed into a pocket.
dialogue_lines.dlg_ex_buy_l02.text,Buy the rise. Bet Hongyuan holds—or that others panic first.
dialogue_lines.dlg_ex_buy_l03.text,The desk stamps. Tide sounds half an inch farther.
dialogue_lines.dlg_ex_leverage_l01.text,Leverage lifts you—and hangs you.
dialogue_lines.dlg_ex_leverage_l02.text,Wins are fast. Losses… also.
dialogue_lines.dlg_ex_leverage_l03.text,The man behind the counter smiles thinly.
dialogue_lines.dlg_ex_rumor_fake_l01.text,Lies travel faster. Your back runs hotter.
dialogue_lines.dlg_ex_rumor_fake_l02.text,As long as someone believes today.
dialogue_lines.dlg_ex_rumor_fake_l03.text,You fold the lie into a paper boat and push it into the tide.
dialogue_lines.dlg_ex_rumor_true_l01.text,Truth is a hammer on the board price.
dialogue_lines.dlg_ex_rumor_true_l02.text,Let it travel—not in my accent.
dialogue_lines.dlg_ex_rumor_true_l03.text,Eyes in the teahouse brighten.
dialogue_lines.dlg_ex_short_l01.text,Short sellers speak soft—afraid of waking the board.
dialogue_lines.dlg_ex_short_l02.text,"I bet the fall. When it drops, will dock chants miss a beat too?"
dialogue_lines.dlg_ex_short_l03.text,Margin is taken. You feel pinned to the leverage yourself.
dialogue_lines.dlg_ex_trade_l01.text,Closing weighs more than opening. Profit and loss live in one press.
dialogue_lines.dlg_ex_trade_l02.text,Close. Today's tide is enough.
dialogue_lines.dlg_ex_trade_l03.text,Silver or an IOU lands. The exchange eyes remeasure you.
dialogue_lines.dlg_home_organize_l01.text,"Old letters, slips, brine on a cuff."
dialogue_lines.dlg_home_organize_l02.text,Straighten the threads. Knives need chaos later.
dialogue_lines.dlg_home_organize_l03.text,The desk is clean. The mind isn't.
dialogue_lines.dlg_home_plan_l01.text,The wick pops. Three paths knot on the paper.
dialogue_lines.dlg_home_plan_l02.text,"Endure, defect, or bet?"
dialogue_lines.dlg_home_plan_l03.text,You nail tomorrow's first step.
dialogue_lines.dlg_home_rest_l01.text,The bed creaks. Tide washes suspicion down an inch.
dialogue_lines.dlg_home_rest_l02.text,Tomorrow you still play innocent.
dialogue_lines.dlg_home_rest_l03.text,In dreams someone slams a table—and a door.
dialogue_lines.dlg_rival_hijack_l01.text,"On the schedule, Hongyuan's name is blotted out."
dialogue_lines.dlg_rival_hijack_l02.text,Show us the seam. We'll take the cut.
dialogue_lines.dlg_rival_hijack_l03.text,If the seam shows—so do I.
dialogue_lines.dlg_rival_poach_l01.text,"In Tongyang's tea room, the list is hotter than tea."
dialogue_lines.dlg_rival_poach_l02.text,Hongyuan hands can become Tongyang hands.
dialogue_lines.dlg_rival_poach_l03.text,Hands can be borrowed. Hearts… separately.
dialogue_lines.dlg_son_meet_l01.text,Dock hands in the building? Speak—what do you want?
dialogue_lines.dlg_son_meet_l02.text,"The schedule report, as you asked."
dialogue_lines.dlg_son_meet_l03.text,Leave it. And stop eyeing my office—filthy habit.
dialogue_lines.dlg_son_rumor_l01.text,You lower your voice and slip half-true schedules into Shaoting's ear—like an unsharpened knife.
dialogue_lines.dlg_son_rumor_l02.text,Who? One of my father's eyes?
dialogue_lines.dlg_son_rumor_l03.text,I wouldn't dare say. I only thought you should know.
dialogue_lines.dlg_son_rumor_l04.text,Good. You know how to talk.
dialogue_lines.dlg_su_guide_l01.text,"The wick pops. You say: if she 'casually' mentions the books again, the crack will grow itself."
dialogue_lines.dlg_su_guide_l02.text,"Isn't that hurting people? Ah-Hai, you've changed."
dialogue_lines.dlg_su_guide_l03.text,The docks changed. I want us free of other people's faces.
dialogue_lines.dlg_su_guide_l04.text,…I'll try. But don't throw me into the fire.
dialogue_lines.dlg_su_office_l01.text,The vice office door is ajar. Wanqing steps out with papers and sees you.
dialogue_lines.dlg_su_office_l02.text,Ah-Hai? I… Shaoting asked me to deliver a file.
dialogue_lines.dlg_su_office_l03.text,"Oh, the dock man. Queue up if you want me."
dialogue_lines.dlg_su_talk_l01.text,Ah-Hai… you're late. Still hard at the docks?
dialogue_lines.dlg_su_talk_l02.text,Manageable. And you? Has Shaoting been bothering you?
dialogue_lines.dlg_su_talk_l03.text,"He just… likes giving things. Cloth, handkerchiefs. I didn't take the expensive ones."
dialogue_lines.dlg_su_talk_l04.text,The lamp flickers. You catch the unease in her fingers.
dialogue_lines.dlg_white_knight_l01.text,VIP curtains hide the docks. Someone shows only a gold cuff.
dialogue_lines.dlg_white_knight_l02.text,"""We enter when the price is rotten enough. Can you make it rottener?"""
dialogue_lines.dlg_white_knight_l03.text,Yes—if you remember my name.
effect_ops.add.description,Add to a value (may be negative)
effect_ops.clamp_add.description,Add then clamp to min/max
effect_ops.mul.description,Multiply by a factor (reserved)
effect_ops.set.description,Set to an absolute value
endings.ending_a.description,You carry intel into Tongyang and hijack Hongyuan's order once.
endings.ending_a.name,Counterstrike · Tongyang Lead
endings.ending_b.description,You force a public clash and brush the warehouse seat and the core ledgers. The demo leaves a hook.
endings.ending_b.name,Father–Son Fracture · Warehouse Chief
endings.ending_c.description,A successful short funds you and opens higher market tools.
endings.ending_c.name,First Pot · Exchange
endings.ending_fail_broke.description,Money hits zero; ambition cools for now.
endings.ending_fail_broke.name,Penniless
endings.ending_fail_fired.description,Suspicion piles high; Hongyuan cuts you out.
endings.ending_fail_fired.name,Ruined
event_choices.ch_a_ok.label,First strike landed
event_choices.ch_b_clash_ok.label,The crack is here — milestone reached
event_choices.ch_b_push.label,Add more fuel
event_choices.ch_b_wait.label,Hold back; stay unseen
event_choices.ch_c_ok.label,First pot of gold secured
event_choices.ch_d3_ok.label,I note it
event_choices.ch_d5_ok.label,"...Yes, boss"
