id,base_line_id,priority,enabled,notes
var_su_talk_l01_tool,dlg_su_talk_l01,30,1,利用
var_su_talk_l03_tool,dlg_su_talk_l03,30,1,利用
var_su_talk_l01_reconcile,dlg_su_talk_l01,22,1,求合
var_su_talk_l03_reconcile,dlg_su_talk_l03,22,1,求合
var_su_talk_l01_let_go,dlg_su_talk_l01,21,1,放手
var_su_talk_l03_let_go,dlg_su_talk_l03,21,1,放手
var_su_office_l01_promo_ty,dlg_su_office_l01,20,1,通洋主管名分
var_su_office_l03_promo,dlg_su_office_l03,20,1,经理后少霆收口
var_su_office_l03_promo_ty,dlg_su_office_l03,20,1,通洋名分后少霆嘲讽
var_su_talk_l02_divorced,dlg_su_talk_l02,20,1,退婚后勿再问为难
var_su_talk_l02_let_go,dlg_su_talk_l02,21,1,放手后
var_su_talk_l02_tool,dlg_su_talk_l02,30,1,利用后
var_street_su_l01_divorced,dlg_street_su_l01,20,1,街访退婚
var_street_su_l03_divorced,dlg_street_su_l03,20,1,街访退婚
var_street_su_l01_let_go,dlg_street_su_l01,21,1,街访放手
var_street_su_l03_let_go,dlg_street_su_l03,21,1,街访放手
var_street_su_l01_tool,dlg_street_su_l01,30,1,街访利用
var_street_su_l03_tool,dlg_street_su_l03,30,1,街访利用
var_street_su_l01_reconciled,dlg_street_su_l01,18,1,求合完成后街访
var_street_su_l03_reconciled,dlg_street_su_l03,18,1,求合完成后街访
var_street_son_l01_hostile,dlg_street_son_l01,22,1,敌视街访
var_street_son_l01_night,dlg_street_son_l01,14,1,夜班发配后
var_street_son_l01_promo,dlg_street_son_l01,18,1,经理名分后
var_street_son_l01_promo_ty,dlg_street_son_l01,18,1,通洋主管后
var_street_son_l01_flex,dlg_street_son_l01,19,1,走廊碾压后
var_street_boss_l01_night,dlg_street_boss_l01,14,1,夜班发配后
var_street_boss_l01_watch,dlg_street_boss_l01,16,1,监视中
var_street_boss_l01_resigned,dlg_street_boss_l01,18,1,辞职后
var_street_chen_l01_joined,dlg_street_chen_l01,18,1,入职通洋
var_street_chen_l01_resigned,dlg_street_chen_l01,16,1,离开宏远未入职
var_street_chen_l01_focus_a,dlg_street_chen_l01,14,1,通洋线站队
var_street_foreman_l01_night,dlg_street_foreman_l01,16,1,夜班发配后
var_street_waiter_l01_heard,dlg_street_waiter_l01,14,1,已听过闲话递进
var_street_waiter_l01_divorced,dlg_street_waiter_l01,18,1,退婚后茶馆
var_street_aunt_l01_divorced,dlg_street_aunt_l01,18,1,退婚后广场
var_street_aunt_l01_son,dlg_street_aunt_l01,12,1,Day3后少爷盯人
var_dock_chat_l03_night,dlg_dock_chat_l03,15,1,夜班发配后码头闲聊
var_co_ask_promo_l01_night,dlg_co_ask_promo_l01,16,1,夜班发配后问晋升
var_co_ask_promo_l03_night,dlg_co_ask_promo_l03,16,1,夜班发配后问晋升
var_street_boss_l01_focus_b,dlg_street_boss_l01,15,1,Day7隐忍线街访
var_street_boss_l01_focus_c,dlg_street_boss_l01,15,1,Day7证券线街访
var_street_chen_l01_focus_c,dlg_street_chen_l01,13,1,证券线街访陈
var_street_waiter_l01_gifts,dlg_street_waiter_l01,16,1,手帕/礼物后
var_street_su_l01_gifts,dlg_street_su_l01,12,1,收礼物后街访藏袖
var_street_su_l03_gifts,dlg_street_su_l03,12,1,收礼物后街访
var_su_talk_l04_reconcile,dlg_su_talk_l04,22,1,求合路径收束
var_su_talk_l04_tool,dlg_su_talk_l04,30,1,利用路径收束
var_su_talk_l04_let_go,dlg_su_talk_l04,21,1,放手路径收束
var_home_plan_l02_a,dlg_home_plan_l02,10,1,通洋筹划
var_home_plan_l02_c,dlg_home_plan_l02,10,1,证券筹划
