id,check_id,mod_kind,key,scale,ref,min_mod,max_mod,enabled,notes
mod_chk_co_peek_relation_scale_zhou_hongye_player_favor_0.002,chk_co_peek,relation_scale,zhou_hongye:player:favor,0.002,40,-0.06,0.10,1,鸿业赏识
mod_chk_co_peek_stat_scale_trust_0.003,chk_co_peek,stat_scale,trust,0.003,45,-0.10,0.12,1,公司职级
mod_chk_co_peek_stat_scale_intel_0.0025,chk_co_peek,stat_scale,intel,0.0025,10,-0.06,0.14,1,情报
mod_chk_co_peek_stat_scale_suspicion_m0.003,chk_co_peek,stat_scale,suspicion,-0.003,20,-0.18,0.06,1,全局嫌疑
mod_chk_co_peek_flag_flat_boss_watching_m0.15,chk_co_peek,flag_flat,boss_watching,-0.15,,,,1,被监视
mod_chk_co_bribe_acc_relation_scale_zhou_hongye_player_trust_0.004,chk_co_bribe_acc,relation_scale,zhou_hongye:player:trust,0.004,35,-0.12,0.16,1,鸿业信任
mod_chk_co_bribe_acc_relation_scale_zhou_hongye_player_suspicion_m0.005,chk_co_bribe_acc,relation_scale,zhou_hongye:player:suspicion,-0.005,15,-0.20,0.08,1,鸿业疑心(越高越难)
mod_chk_co_bribe_acc_relation_scale_zhou_hongye_player_favor_0.002,chk_co_bribe_acc,relation_scale,zhou_hongye:player:favor,0.002,40,-0.06,0.10,1,鸿业赏识
mod_chk_co_bribe_acc_stat_scale_trust_0.003,chk_co_bribe_acc,stat_scale,trust,0.003,45,-0.10,0.12,1,公司职级
mod_chk_co_bribe_acc_stat_scale_intel_0.0025,chk_co_bribe_acc,stat_scale,intel,0.0025,10,-0.06,0.14,1,情报
mod_chk_co_bribe_acc_stat_scale_suspicion_m0.003,chk_co_bribe_acc,stat_scale,suspicion,-0.003,20,-0.18,0.06,1,全局嫌疑
mod_chk_co_bribe_acc_flag_flat_boss_watching_m0.15,chk_co_bribe_acc,flag_flat,boss_watching,-0.15,,,,1,被监视
mod_chk_co_bribe_acc_stat_scale_network_elite_0.003,chk_co_bribe_acc,stat_scale,network_elite,0.003,5,-0.04,0.12,1,上层路子
mod_chk_co_bribe_acc_stat_scale_money_0.0004,chk_co_bribe_acc,stat_scale,money,0.0004,80,-0.04,0.08,1,价码谈得拢
mod_chk_co_frame_relation_scale_zhou_hongye_player_trust_0.004,chk_co_frame,relation_scale,zhou_hongye:player:trust,0.004,35,-0.12,0.16,1,鸿业信任
mod_chk_co_frame_relation_scale_zhou_hongye_player_suspicion_m0.005,chk_co_frame,relation_scale,zhou_hongye:player:suspicion,-0.005,15,-0.20,0.08,1,鸿业疑心(越高越难)
mod_chk_co_frame_relation_scale_zhou_hongye_player_favor_0.002,chk_co_frame,relation_scale,zhou_hongye:player:favor,0.002,40,-0.06,0.10,1,鸿业赏识
mod_chk_co_frame_stat_scale_trust_0.003,chk_co_frame,stat_scale,trust,0.003,45,-0.10,0.12,1,公司职级
mod_chk_co_frame_stat_scale_intel_0.0025,chk_co_frame,stat_scale,intel,0.0025,10,-0.06,0.14,1,情报
mod_chk_co_frame_stat_scale_suspicion_m0.003,chk_co_frame,stat_scale,suspicion,-0.003,20,-0.18,0.06,1,全局嫌疑
mod_chk_co_frame_flag_flat_boss_watching_m0.15,chk_co_frame,flag_flat,boss_watching,-0.15,,,,1,被监视
mod_chk_co_frame_relation_scale_zhou_shaoting_player_suspicion_m0.003,chk_co_frame,relation_scale,zhou_shaoting:player:suspicion,-0.003,20,-0.12,0.06,1,少霆疑心
mod_chk_co_frame_relation_scale_zhou_shaoting_player_favor_m0.002,chk_co_frame,relation_scale,zhou_shaoting:player:favor,-0.002,15,-0.08,0.06,1,少霆越吃你越难栽给他爹的锅
mod_chk_co_frame_stat_scale_father_son_tension_0.003,chk_co_frame,stat_scale,father_son_tension,0.003,30,-0.06,0.14,1,裂缝已深更好栽
mod_chk_dock_black_relation_scale_chen_manager_player_favor_0.004,chk_dock_black,relation_scale,chen_manager:player:favor,0.004,20,-0.08,0.18,1,陈掌柜好感
mod_chk_dock_black_relation_scale_chen_manager_player_trust_0.003,chk_dock_black,relation_scale,chen_manager:player:trust,0.003,10,-0.06,0.14,1,陈掌柜信任
mod_chk_dock_black_relation_scale_chen_manager_player_suspicion_m0.004,chk_dock_black,relation_scale,chen_manager:player:suspicion,-0.004,5,-0.12,0.04,1,陈也疑你
mod_chk_dock_black_stat_scale_network_base_0.003,chk_dock_black,stat_scale,network_base,0.003,25,-0.06,0.12,1,码头黑话
mod_chk_dock_black_stat_scale_suspicion_m0.003,chk_dock_black,stat_scale,suspicion,-0.003,20,-0.14,0.05,1,你太烫货难出手
mod_chk_dock_black_relation_scale_zhou_hongye_player_suspicion_m0.002,chk_dock_black,relation_scale,zhou_hongye:player:suspicion,-0.002,15,-0.10,0.04,1,宏远盯得紧
mod_chk_dock_black_flag_flat_boss_watching_m0.12,chk_dock_black,flag_flat,boss_watching,-0.12,,,,1,监视
mod_chk_dock_black_flag_flat_route_focus_a_0.06,chk_dock_black,flag_flat,route_focus_a,0.06,,,,1,反戈线熟路
mod_chk_ex_rumor_fake_relation_scale_zhou_hongye_player_suspicion_m0.003,chk_ex_rumor_fake,relation_scale,zhou_hongye:player:suspicion,-0.003,15,-0.14,0.05,1,宏远已在查你
mod_chk_ex_rumor_fake_stat_scale_network_elite_0.004,chk_ex_rumor_fake,stat_scale,network_elite,0.004,5,-0.06,0.18,1,商界声望
mod_chk_ex_rumor_fake_stat_scale_intel_0.003,chk_ex_rumor_fake,stat_scale,intel,0.003,10,-0.06,0.14,1,假话也要有料
mod_chk_ex_rumor_fake_stat_scale_suspicion_m0.0025,chk_ex_rumor_fake,stat_scale,suspicion,-0.0025,20,-0.12,0.05,1,人嫌你假
mod_chk_ex_rumor_fake_flag_flat_boss_watching_m0.12,chk_ex_rumor_fake,flag_flat,boss_watching,-0.12,,,,1,监视
mod_chk_ex_rumor_fake_relation_scale_chen_manager_player_favor_0.002,chk_ex_rumor_fake,relation_scale,chen_manager:player:favor,0.002,20,-0.04,0.08,1,通洋愿帮你放风
mod_chk_co_pass_rumor_relation_scale_zhou_shaoting_player_favor_0.005,chk_co_pass_rumor,relation_scale,zhou_shaoting:player:favor,0.005,15,-0.10,0.20,1,少霆越看得起你越好骗
mod_chk_co_pass_rumor_relation_scale_zhou_shaoting_player_trust_0.004,chk_co_pass_rumor,relation_scale,zhou_shaoting:player:trust,0.004,10,-0.08,0.16,1,少霆信任
mod_chk_co_pass_rumor_relation_scale_zhou_shaoting_player_suspicion_m0.006,chk_co_pass_rumor,relation_scale,zhou_shaoting:player:suspicion,-0.006,20,-0.22,0.08,1,少霆疑心(关键)
mod_chk_co_pass_rumor_stat_scale_intel_0.0035,chk_co_pass_rumor,stat_scale,intel,0.0035,10,-0.08,0.16,1,假话完成度
mod_chk_co_pass_rumor_stat_scale_suspicion_m0.002,chk_co_pass_rumor,stat_scale,suspicion,-0.002,20,-0.10,0.05,1,你自己太烫
mod_chk_co_pass_rumor_relation_scale_zhou_hongye_zhou_shaoting_father_son_trust_,chk_co_pass_rumor,relation_scale,zhou_hongye:zhou_shaoting:father_son_trust,-0.002,55,-0.10,0.08,1,父子越紧越难离间
mod_chk_co_pass_rumor_stat_scale_father_son_tension_0.0025,chk_co_pass_rumor,stat_scale,father_son_tension,0.0025,25,-0.06,0.12,1,矛盾已高更好灌
mod_chk_co_pass_rumor_flag_flat_son_hostile_m0.14,chk_co_pass_rumor,flag_flat,son_hostile,-0.14,,,,1,已被点名
mod_chk_co_pass_rumor_flag_flat_boss_watching_m0.08,chk_co_pass_rumor,flag_flat,boss_watching,-0.08,,,,1,监视
mod_chk_dock_chat_weather_flat_rain_0.08,chk_dock_chat,weather_flat,rain,0.08,,,,1,雨里挤棚下更爱聊
mod_chk_dock_chat_weather_flat_storm_m0.06,chk_dock_chat,weather_flat,storm,-0.06,,,,1,暴雨只顾躲
mod_chk_dock_steal_weather_flat_rain_0.06,chk_dock_steal,weather_flat,rain,0.06,,,,1,雨声盖脚步
mod_chk_dock_steal_weather_flat_storm_m0.12,chk_dock_steal,weather_flat,storm,-0.12,,,,1,暴雨乱局难下手
mod_chk_dock_black_weather_flat_rain_0.10,chk_dock_black,weather_flat,rain,0.10,,,,1,雨幕掩护私货
mod_chk_dock_bribe_weather_flat_storm_m0.05,chk_dock_bribe,weather_flat,storm,-0.05,,,,1,暴雨仓管心不宁
mod_chk_co_eavesdrop_weather_flat_rain_0.04,chk_co_eavesdrop,weather_flat,rain,0.04,,,,1,躲雨走廊闲话多
mod_chk_co_pass_rumor_weather_flat_rain_0.03,chk_co_pass_rumor,weather_flat,rain,0.03,,,,1,雨天人更愿咬耳朵
mod_chk_plaza_ball_net,chk_plaza_ball,stat_scale,network_base,0.004,25,-0.08,0.18,1,球场熟人
mod_chk_plaza_ball_sus,chk_plaza_ball,stat_scale,suspicion,-0.002,20,-0.10,0.04,1,太烫手气差
mod_chk_plaza_dice_net,chk_plaza_dice,stat_scale,network_base,0.003,25,-0.08,0.14,1,
mod_chk_plaza_dice_sus,chk_plaza_dice,stat_scale,suspicion,-0.002,25,-0.10,0.04,1,
