id,dialogue_id,after_line_id,sort,enabled,notes
dch_dlg_rival_poach_ok,dlg_rival_poach,dlg_rival_poach_l03,1,1,
dch_dlg_rival_poach_push,dlg_rival_poach,dlg_rival_poach_l03,2,1,
dch_dlg_rival_hijack_ok,dlg_rival_hijack,dlg_rival_hijack_l03,1,1,
dch_dlg_rival_hijack_delay,dlg_rival_hijack,dlg_rival_hijack_l03,2,1,
dch_dlg_ex_rumor_true_ok,dlg_ex_rumor_true,dlg_ex_rumor_true_l03,1,1,
dch_dlg_ex_rumor_fake_ok,dlg_ex_rumor_fake,dlg_ex_rumor_fake_l03,1,1,
dch_dlg_ex_rumor_fake_bold,dlg_ex_rumor_fake,dlg_ex_rumor_fake_l03,2,1,
dch_dlg_ex_leverage_ok,dlg_ex_leverage,dlg_ex_leverage_l03,1,1,
dch_dlg_ex_leverage_hesitate,dlg_ex_leverage,dlg_ex_leverage_l03,2,1,
dch_dlg_boss_flatter_humble,dlg_boss_flatter,dlg_boss_flatter_l03,2,1,v0.7 branch
dch_dlg_boss_task_askpay,dlg_boss_task,dlg_boss_task_l02,2,1,v0.7 branch
dch_dlg_chen_sell_hold,dlg_chen_sell,dlg_chen_sell_l03,2,1,v0.7 branch
dch_dlg_broker_listen,dlg_broker,dlg_broker_l03,2,1,v0.7 branch
dch_dlg_white_knight_hesitate,dlg_white_knight,dlg_white_knight_l03,2,1,v0.7 branch
dch_dlg_contact_corner_wary,dlg_contact_corner,dlg_contact_corner_l03,2,1,v0.7 branch
dch_dlg_son_rumor_soft,dlg_son_rumor,dlg_son_rumor_l04,2,1,v0.7 branch
dch_dlg_chen_hire_delay,dlg_chen_hire,dlg_chen_hire_l03,2,1,v0.7 branch
dch_dlg_ex_buy_ok,dlg_ex_buy,dlg_ex_buy_l03,1,1,
dch_dlg_ex_buy_small,dlg_ex_buy,dlg_ex_buy_l03,2,1,
dch_dlg_ex_short_ok,dlg_ex_short,dlg_ex_short_l03,1,1,
dch_dlg_ex_short_hedge,dlg_ex_short,dlg_ex_short_l03,2,1,
dch_dlg_ex_trade_ok,dlg_ex_trade,dlg_ex_trade_l03,1,1,
dch_dlg_ex_trade_partial,dlg_ex_trade,dlg_ex_trade_l03,2,1,
dch_dlg_boss_blame_quiet,dlg_boss_blame,dlg_boss_blame_l03,2,1,v0.8
dch_dlg_chen_lobby_wary,dlg_chen_lobby,dlg_chen_lobby_l03,2,1,v0.8
dch_dlg_dock_work_slow,dlg_dock_work,dlg_dock_work_l03,2,1,v0.8
dch_dlg_co_work_overtime,dlg_co_work,dlg_co_work_l03,2,1,v0.8
dch_dlg_home_rest_think,dlg_home_rest,dlg_home_rest_l03,2,1,v0.8
dch_dlg_ex_rumor_true_quiet,dlg_ex_rumor_true,dlg_ex_rumor_true_l03,2,1,v0.8
dch_dlg_co_peek_copy,dlg_co_peek,dlg_co_peek_l03,2,1,v0.8
dch_dlg_home_organize_burn,dlg_home_organize,dlg_home_organize_l03,2,1,v0.8
