id,owner_type,owner_id,cond_group,cond_type,key,op,value,notes
c_ev_ev_b_public_clash_stat_father_son_tension_70,event,ev_b_public_clash,1,stat,father_son_tension,gte,70,
c_ev_ev_b_public_clash_flag_ending_route_b_ready_0,event,ev_b_public_clash,1,flag,ending_show_b,eq,0,未播过公开对立结局演出
c_ev_ev_a_offer_stat_intel_15,event,ev_a_offer,1,stat,intel,gte,15,
c_ev_ev_a_offer_stat_network_base_20,event,ev_a_offer,1,stat,network_base,gte,20,
c_ev_ev_a_first_strike_flag_ending_route_a_ready_1,event,ev_a_first_strike,1,flag,ending_route_a_ready,eq,1,
c_ev_ev_c_first_short_flag_ending_route_c_ready_1,event,ev_c_first_short,1,flag,ending_route_c_ready,eq,1,
c_ev_ev_fail_fired_stat_suspicion_95,event,ev_fail_fired,1,stat,suspicion,gte,95,
c_ev_ev_fail_broke_stat_money_0,event,ev_fail_broke,1,stat,money,lte,0,
c_ev_ev_low_money_debuff_stat_money_20,event,ev_low_money_debuff,1,stat,money,lte,20,
c_ev_ev_boss_watching_flag_boss_watching_1,event,ev_boss_watching,1,flag,boss_watching,eq,1,
c_ev_ev_boss_watching_stat_suspicion_50,event,ev_boss_watching,1,stat,suspicion,gte,50,
c_end_ending_b_flag_ending_route_b_ready_1,ending,ending_b,1,flag,ending_route_b_ready,eq,1,
c_end_ending_b_day_day_20,ending,ending_b,1,day,day,gte,18,
c_end_ending_a_flag_ending_route_a_ready_1,ending,ending_a,1,flag,ending_route_a_ready,eq,1,
c_end_ending_c_flag_ending_route_c_ready_1,ending,ending_c,1,flag,ending_route_c_ready,eq,1,
c_end_ending_fail_fired_stat_suspicion_95,ending,ending_fail_fired,1,stat,suspicion,gte,95,
c_end_ending_fail_broke_stat_money_0,ending,ending_fail_broke,1,stat,money,lte,0,
c_th_su_leak,threshold,th_su_leak,1,relation,su_qing:player:favor,gte,80,晚晴主动透露周家消息
c_th_su_drift,threshold,th_su_drift,1,relation,su_qing:zhou_shaoting:intimacy,gte,60,接受贵重礼物并疏远主角
c_th_su_betray,threshold,th_su_betray,1,relation,su_qing:player:favor,lte,25,好感过低可能反水告密
c_th_father_conflict,threshold,th_father_conflict,1,relation,zhou_hongye:zhou_shaoting:father_son_trust,lte,30,父子信任崩 → 矛盾激化（可叠加事件）
c_th_boss_watch,threshold,th_boss_watch,1,relation,zhou_hongye:player:suspicion,gte,70,派人监视；阴谋成功率下降
c_th_son_hostile,threshold,th_son_hostile,1,relation,zhou_shaoting:player:suspicion,gte,60,少霆开始针对打压
c_th_chen_ally,threshold,th_chen_ally,1,relation,chen_manager:player:favor,gte,50,具备跳槽谈判资格
c_st_low_money,threshold,st_low_money,1,stat,money,lte,20,金钱警戒
c_st_clear_low_money,threshold,st_clear_low_money,1,stat,money,gt,20,离开警戒
c_st_suspicion_light,threshold,st_suspicion_light,1,stat,suspicion,gte,40,轻度：被敲打/降薪（事件用）
c_st_suspicion_mid,threshold,st_suspicion_mid,1,stat,suspicion,gte,70,中度：降职/开除风险
c_st_suspicion_heavy,threshold,st_suspicion_heavy,1,stat,suspicion,gte,95,重度：直接失败判定入口
c_st_b_tension,threshold,st_b_tension,1,stat,father_son_tension,gte,70,离间线阶段目标
c_ev_b_d9_night_shift_day,event,ev_b_d9_night_shift,1,day,day,eq,9,
c_ev_b_d11_su_letter_day,event,ev_b_d11_su_letter,1,day,day,eq,11,
c_ev_b_d14_elder_drink_day,event,ev_b_d14_elder_drink,1,day,day,eq,14,
c_ev_b_d16_fake_ledger_day,event,ev_b_d16_fake_ledger,1,day,day,eq,16,
c_ev_b_d19_su_afraid_day,event,ev_b_d19_su_afraid,1,day,day,eq,19,
c_ev_b_d21_watchman_day,event,ev_b_d21_watchman,1,day,day,eq,21,
c_ev_b_d24_boardroom_noise_day,event,ev_b_d24_boardroom_noise,1,day,day,eq,24,
c_ev_b_d27_promotion_hint_day,event,ev_b_d27_promotion_hint,1,day,day,eq,27,
c_ev_a_d12_probe_day,event,ev_a_d12_probe,1,day,day,eq,12,
c_ev_c_d13_tick_day,event,ev_c_d13_tick,1,day,day,eq,13,
c_ev_rank_foreman_day,event,ev_rank_foreman_remind,1,day,day,eq,2,
c_var_su_talk_l02_high_1,line_variant,var_su_talk_l02_high,1,relation,su_qing:player:favor,gte,75,
c_var_su_talk_l02_low_1,line_variant,var_su_talk_l02_low,1,relation,su_qing:player:favor,lte,40,
c_var_su_talk_l03_high_1,line_variant,var_su_talk_l03_high,1,relation,su_qing:player:favor,gte,75,
c_var_su_talk_l03_drift_1,line_variant,var_su_talk_l03_drift,1,relation,su_qing:zhou_shaoting:intimacy,gte,55,
c_var_son_meet_l01_hostile_1,line_variant,var_son_meet_l01_hostile,1,relation,zhou_shaoting:player:suspicion,gte,50,
c_var_boss_flatter_l03_hightrust_1,line_variant,var_boss_flatter_l03_hightrust,1,stat,trust,gte,60,
c_var_chen_lobby_l02_known_1,line_variant,var_chen_lobby_l02_known,1,flag,flag_sold_intel,eq,1,
c_ev_b_clash_day,event,ev_b_public_clash,1,day,day,gte,18,Demo 阶段结局窗口
c_var_su_guide_l02_low_1,line_variant,var_su_guide_l02_low,1,relation,su_qing:player:favor,lte,35,
c_var_su_guide_l02_high_1,line_variant,var_su_guide_l02_high,1,relation,su_qing:player:favor,gte,70,
c_var_boss_blame_l03_watch_1,line_variant,var_boss_blame_l03_watch,1,flag,boss_watching,eq,1,
c_var_son_rumor_l04_tension_1,line_variant,var_son_rumor_l04_tension,1,stat,father_son_tension,gte,50,
c_var_chen_sell_l03_ally_1,line_variant,var_chen_sell_l03_ally,1,relation,chen_manager:player:favor,gte,45,
c_var_broker_l02_elite_1,line_variant,var_broker_l02_elite,1,stat,network_elite,gte,15,
c_var_su_office_l02_intimacy_1,line_variant,var_su_office_l02_intimacy,1,relation,su_qing:zhou_shaoting:intimacy,gte,50,
c_var_white_l02_short_1,line_variant,var_white_l02_short,1,flag,flag_holding_short,eq,1,
c_ev_b_d28_calm_before_day,event,ev_b_d28_calm_before,1,day,day,eq,28,
c_ev_b_d29_whisper_day,event,ev_b_d29_whisper,1,day,day,eq,29,
c_ev_b_d30_hook_day,event,ev_b_d30_hook,1,day,day,eq,30,
c_ev_c_profit_milestone_1,event,ev_c_profit_milestone,1,flag,ending_route_c_ready,eq,1,
c_ev_c_profit_milestone_2,event,ev_c_profit_milestone,1,flag,ending_show_c,eq,0,
c_ev_a_d20_pressure_day,event,ev_a_d20_pressure,1,day,day,eq,20,
c_ev_a_d20_pressure_1,event,ev_a_d20_pressure,1,flag,flag_sold_intel,eq,1,
c_ev_c_d22_drift_day,event,ev_c_d22_drift,1,day,day,eq,22,
c_line_variant_var_dock_chat_l02_lowmoney_stat_money_40,line_variant,var_dock_chat_l02_lowmoney,1,stat,money,lte,40,
c_line_variant_var_co_eaves_l02_tension_stat_father_son_tension_40,line_variant,var_co_eaves_l02_tension,1,stat,father_son_tension,gte,40,
c_line_variant_var_home_rest_l02_watch_flag_boss_watching_1,line_variant,var_home_rest_l02_watch,1,flag,boss_watching,eq,1,
c_line_variant_var_boss_task_l01_hightrust_stat_trust_55,line_variant,var_boss_task_l01_hightrust,1,stat,trust,gte,55,
c_line_variant_var_son_meet_l02_tension_stat_father_son_tension_50,line_variant,var_son_meet_l02_tension,1,stat,father_son_tension,gte,50,
c_line_variant_var_chen_hire_l01_sold_flag_flag_sold_intel_1,line_variant,var_chen_hire_l01_sold,1,flag,flag_sold_intel,eq,1,
c_line_variant_var_broker_l01_money_stat_money_120,line_variant,var_broker_l01_money,1,stat,money,gte,120,
c_line_variant_var_dock_steal_l02_suspect_stat_suspicion_35,line_variant,var_dock_steal_l02_suspect,1,stat,suspicion,gte,35,
c_line_variant_var_co_frame_l02_framed_flag_flag_finance_framed_1,line_variant,var_co_frame_l02_framed,1,flag,flag_finance_framed,eq,1,
c_line_variant_var_home_plan_l02_b_flag_route_focus_b_1,line_variant,var_home_plan_l02_b,1,flag,route_focus_b,eq,1,
c_line_variant_var_ex_lev_l02_used_flag_flag_used_leverage_1,line_variant,var_ex_lev_l02_used,1,flag,flag_used_leverage,eq,1,
c_line_variant_var_rival_hijack_l02_a_flag_route_focus_a_1,line_variant,var_rival_hijack_l02_a,1,flag,route_focus_a,eq,1,
c_event_ev_b_d8_corridor_day_day_8,event,ev_b_d8_corridor,1,day,day,eq,8,
c_event_ev_b_d8_corridor_flag_route_focus_b_1,event,ev_b_d8_corridor,1,flag,route_focus_b,eq,1,
c_event_ev_b_d10_tea_day_day_10,event,ev_b_d10_tea,1,day,day,eq,10,
c_event_ev_b_d13_gift_day_day_13,event,ev_b_d13_gift,1,day,day,eq,13,
c_event_ev_b_d17_ledger_echo_day_day_17,event,ev_b_d17_ledger_echo,1,day,day,eq,17,
c_event_ev_b_d17_ledger_echo_flag_flag_finance_framed_1,event,ev_b_d17_ledger_echo,1,flag,flag_finance_framed,eq,1,
c_event_ev_b_d22_rain_day_day_22,event,ev_b_d22_rain,1,day,day,eq,22,
c_event_ev_b_d22_rain_flag_route_focus_b_1,event,ev_b_d22_rain,1,flag,route_focus_b,eq,1,
c_event_ev_b_d25_mirror_day_day_25,event,ev_b_d25_mirror,1,day,day,eq,25,
c_event_ev_a_d8_smoke_day_day_8,event,ev_a_d8_smoke,1,day,day,eq,8,
c_event_ev_a_d8_smoke_flag_route_focus_a_1,event,ev_a_d8_smoke,1,flag,route_focus_a,eq,1,
c_event_ev_a_d10_list_day_day_10,event,ev_a_d10_list,1,day,day,eq,10,
c_event_ev_a_d10_list_flag_route_focus_a_1,event,ev_a_d10_list,1,flag,route_focus_a,eq,1,
c_event_ev_a_d15_leak_day_day_15,event,ev_a_d15_leak,1,day,day,eq,15,
c_event_ev_a_d15_leak_flag_flag_sold_intel_1,event,ev_a_d15_leak,1,flag,flag_sold_intel,eq,1,
c_event_ev_a_d18_order_day_day_18,event,ev_a_d18_order,1,day,day,eq,18,
c_event_ev_a_d18_order_flag_route_focus_a_1,event,ev_a_d18_order,1,flag,route_focus_a,eq,1,
c_event_ev_a_d23_wall_day_day_23,event,ev_a_d23_wall,1,day,day,eq,23,
c_event_ev_a_d23_wall_flag_joined_tongyang_1,event,ev_a_d23_wall,1,flag,joined_tongyang,eq,1,
c_event_ev_a_d26_choice_day_day_26,event,ev_a_d26_choice,1,day,day,eq,26,
c_event_ev_a_d26_choice_flag_route_focus_a_1,event,ev_a_d26_choice,1,flag,route_focus_a,eq,1,
c_event_ev_c_d8_board_day_day_8,event,ev_c_d8_board,1,day,day,eq,8,
c_event_ev_c_d8_board_flag_route_focus_c_1,event,ev_c_d8_board,1,flag,route_focus_c,eq,1,
c_event_ev_c_d10_tip_day_day_10,event,ev_c_d10_tip,1,day,day,eq,10,
c_event_ev_c_d10_tip_flag_route_focus_c_1,event,ev_c_d10_tip,1,flag,route_focus_c,eq,1,
c_event_ev_c_d15_margin_day_day_15,event,ev_c_d15_margin,1,day,day,eq,15,
c_event_ev_c_d15_margin_flag_route_focus_c_1,event,ev_c_d15_margin,1,flag,route_focus_c,eq,1,
c_event_ev_c_d17_rumor_war_day_day_17,event,ev_c_d17_rumor_war,1,day,day,eq,17,
c_event_ev_c_d17_rumor_war_flag_route_focus_c_1,event,ev_c_d17_rumor_war,1,flag,route_focus_c,eq,1,
c_event_ev_c_d19_vip_day_day_19,event,ev_c_d19_vip,1,day,day,eq,19,
c_event_ev_c_d19_vip_flag_route_focus_c_1,event,ev_c_d19_vip,1,flag,route_focus_c,eq,1,
c_event_ev_c_d25_close_call_day_day_25,event,ev_c_d25_close_call,1,day,day,eq,25,
c_event_ev_c_d25_close_call_flag_flag_used_leverage_1,event,ev_c_d25_close_call,1,flag,flag_used_leverage,eq,1,
c_event_ev_d4_salary_day_day_4,event,ev_d4_salary,1,day,day,eq,4,
c_event_ev_d16_festival_day_day_16,event,ev_d16_festival,1,day,day,eq,16,
c_event_ev_d20_storm_day_day_20,event,ev_d20_storm,1,day,day,eq,20,
c_event_ev_a_first_strike_flag_ending_show_a_eq_0,event,ev_a_first_strike,1,flag,ending_show_a,eq,0,防重播
c_event_ev_a_first_strike_day_day_gte_18,event,ev_a_first_strike,1,day,day,gte,18,与B公开对立同档节奏
c_event_ending_a_flag_ending_show_a_eq_1,ending,ending_a,1,flag,ending_show_a,eq,1,须先播第一次截胡演出
c_event_ev_c_first_short_flag_ending_show_c_eq_0,event,ev_c_first_short,1,flag,ending_show_c,eq,0,防与里程碑重复抢播时可并存ready
c_event_ending_c_flag_ending_show_c_eq_1,ending,ending_c,1,flag,ending_show_c,eq,1,须先播第一次做空演出
c_event_ev_c_first_short_day_day_gte_16,event,ev_c_first_short,1,day,day,gte,16,
c_event_ev_flag_su_leak_flag_su_leaks_zhou_info_eq_1,event,ev_flag_su_leak,1,flag,su_leaks_zhou_info,eq,1,
c_event_ev_flag_su_leak_flag_ending_route_b_ready_eq_0,event,ev_flag_su_leak,1,flag,ending_route_b_ready,eq,0,
c_event_ev_flag_su_gifts_flag_su_accepts_son_gifts_eq_1,event,ev_flag_su_gifts,1,flag,su_accepts_son_gifts,eq,1,
c_event_ev_flag_su_gifts_flag_ending_route_b_ready_eq_0,event,ev_flag_su_gifts,1,flag,ending_route_b_ready,eq,0,
c_event_ev_flag_su_betray_risk_flag_su_may_betray_eq_1,event,ev_flag_su_betray_risk,1,flag,su_may_betray,eq,1,
c_event_ev_flag_su_betray_risk_flag_ending_route_b_ready_eq_0,event,ev_flag_su_betray_risk,1,flag,ending_route_b_ready,eq,0,
c_event_ev_flag_son_hostile_flag_son_hostile_eq_1,event,ev_flag_son_hostile,1,flag,son_hostile,eq,1,
c_action_home_guide_su_flag_su_may_betray_eq_0,action,home_guide_su,1,flag,su_may_betray,eq,0,濒临背叛时引导无效/危险，先修关系
c_action_co_pass_rumor_flag_son_hostile_eq_0,action,co_pass_rumor,1,flag,son_hostile,eq,0,少霆敌意高时假消息更易穿帮——暂锁
c_dialogue_choice_dch_dlg_su_guide_cold_relation_su_qing_player_favor_gte_35,dialogue_choice,dch_dlg_su_guide_cold,1,relation,su_qing:player:favor,gte,35,
c_dialogue_choice_dch_dlg_su_office_jab_stat_suspicion_lte_70,dialogue_choice,dch_dlg_su_office_jab,1,stat,suspicion,lte,70,
c_dialogue_choice_dch_dlg_dock_steal_extra_stat_suspicion_lte_55,dialogue_choice,dch_dlg_dock_steal_extra,1,stat,suspicion,lte,55,
c_dialogue_choice_dch_dlg_dock_black_greed_stat_suspicion_lte_50,dialogue_choice,dch_dlg_dock_black_greed,1,stat,suspicion,lte,50,
c_dialogue_choice_dch_dlg_co_frame_fan_flag_flag_finance_framed_eq_1,dialogue_choice,dch_dlg_co_frame_fan,1,flag,flag_finance_framed,eq,1,
c_dialogue_choice_dch_dlg_rival_hijack_ok_flag_can_join_tongyang_eq_1,dialogue_choice,dch_dlg_rival_hijack_ok,1,flag,can_join_tongyang,eq,1,须有通洋接口
c_dialogue_choice_dch_dlg_chen_hire_ok_flag_can_join_tongyang_eq_1,dialogue_choice,dch_dlg_chen_hire_ok,1,flag,can_join_tongyang,eq,1,
c_dialogue_choice_dch_dlg_white_knight_ok_stat_money_gte_40,dialogue_choice,dch_dlg_white_knight_ok,1,stat,money,gte,40,
c_dialogue_choice_dch_dlg_ex_rumor_fake_bold_stat_intel_gte_8,dialogue_choice,dch_dlg_ex_rumor_fake_bold,1,stat,intel,gte,8,
c_dialogue_choice_dch_dlg_boss_task_askpay_stat_trust_gte_30,dialogue_choice,dch_dlg_boss_task_askpay,1,stat,trust,gte,30,
c_event_ev_a_d9_dock_day_day_eq_9,event,ev_a_d9_dock,1,day,day,eq,9,
c_event_ev_a_d9_dock_flag_route_focus_a_eq_1,event,ev_a_d9_dock,1,flag,route_focus_a,eq,1,
c_event_ev_a_d14_tea_day_day_eq_14,event,ev_a_d14_tea,1,day,day,eq,14,
c_event_ev_a_d14_tea_flag_route_focus_a_eq_1,event,ev_a_d14_tea,1,flag,route_focus_a,eq,1,
c_event_ev_a_d17_shadow_day_day_eq_17,event,ev_a_d17_shadow,1,day,day,eq,17,
c_event_ev_a_d17_shadow_flag_route_focus_a_eq_1,event,ev_a_d17_shadow,1,flag,route_focus_a,eq,1,
c_event_ev_a_d21_packet_day_day_eq_21,event,ev_a_d21_packet,1,day,day,eq,21,
c_event_ev_a_d21_packet_flag_route_focus_a_eq_1,event,ev_a_d21_packet,1,flag,route_focus_a,eq,1,
c_event_ev_a_d24_cover_day_day_eq_24,event,ev_a_d24_cover,1,day,day,eq,24,
c_event_ev_a_d24_cover_flag_route_focus_a_eq_1,event,ev_a_d24_cover,1,flag,route_focus_a,eq,1,
c_event_ev_a_d28_ready_day_day_eq_28,event,ev_a_d28_ready,1,day,day,eq,28,
c_event_ev_a_d28_ready_flag_route_focus_a_eq_1,event,ev_a_d28_ready,1,flag,route_focus_a,eq,1,
c_event_ev_a_d30_hook_day_day_eq_30,event,ev_a_d30_hook,1,day,day,eq,30,
c_event_ev_a_d30_hook_flag_route_focus_a_eq_1,event,ev_a_d30_hook,1,flag,route_focus_a,eq,1,
c_event_ev_c_d9_ledger_day_day_eq_9,event,ev_c_d9_ledger,1,day,day,eq,9,
c_event_ev_c_d9_ledger_flag_route_focus_c_eq_1,event,ev_c_d9_ledger,1,flag,route_focus_c,eq,1,
c_event_ev_c_d12_open_day_day_eq_12,event,ev_c_d12_open,1,day,day,eq,12,
c_event_ev_c_d12_open_flag_route_focus_c_eq_1,event,ev_c_d12_open,1,flag,route_focus_c,eq,1,
c_event_ev_c_d16_audit_day_day_eq_16,event,ev_c_d16_audit,1,day,day,eq,16,
c_event_ev_c_d16_audit_flag_route_focus_c_eq_1,event,ev_c_d16_audit,1,flag,route_focus_c,eq,1,
c_event_ev_c_d18_ally_day_day_eq_18,event,ev_c_d18_ally,1,day,day,eq,18,
c_event_ev_c_d18_ally_flag_route_focus_c_eq_1,event,ev_c_d18_ally,1,flag,route_focus_c,eq,1,
c_event_ev_c_d21_spike_day_day_eq_21,event,ev_c_d21_spike,1,day,day,eq,21,
c_event_ev_c_d21_spike_flag_route_focus_c_eq_1,event,ev_c_d21_spike,1,flag,route_focus_c,eq,1,
c_event_ev_c_d21_spike_flag_flag_holding_short_eq_1,event,ev_c_d21_spike,1,flag,flag_holding_short,eq,1,
c_event_ev_c_d24_broker_day_day_eq_24,event,ev_c_d24_broker,1,day,day,eq,24,
c_event_ev_c_d24_broker_flag_route_focus_c_eq_1,event,ev_c_d24_broker,1,flag,route_focus_c,eq,1,
c_event_ev_c_d28_ready_day_day_eq_28,event,ev_c_d28_ready,1,day,day,eq,28,
c_event_ev_c_d28_ready_flag_route_focus_c_eq_1,event,ev_c_d28_ready,1,flag,route_focus_c,eq,1,
c_event_ev_c_d30_hook_day_day_eq_30,event,ev_c_d30_hook,1,day,day,eq,30,
c_event_ev_c_d30_hook_flag_route_focus_c_eq_1,event,ev_c_d30_hook,1,flag,route_focus_c,eq,1,
c_line_variant_var_su_talk_l01_leak_flag_su_leaks_zhou_info_eq_1,line_variant,var_su_talk_l01_leak,1,flag,su_leaks_zhou_info,eq,1,
c_line_variant_var_su_talk_l01_gift_flag_su_accepts_son_gifts_eq_1,line_variant,var_su_talk_l01_gift,1,flag,su_accepts_son_gifts,eq,1,
c_line_variant_var_su_talk_l03_betray_flag_su_may_betray_eq_1,line_variant,var_su_talk_l03_betray,1,flag,su_may_betray,eq,1,
c_line_variant_var_son_meet_l01_hostile_flag_flag_son_hostile_eq_1,line_variant,var_son_meet_l01_hostile_flag,1,flag,son_hostile,eq,1,
c_line_variant_var_boss_flatter_l02_watch_flag_boss_watching_eq_1,line_variant,var_boss_flatter_l02_watch,1,flag,boss_watching,eq,1,
c_line_variant_var_chen_sell_l01_ally_flag_can_join_tongyang_eq_1,line_variant,var_chen_sell_l01_ally,1,flag,can_join_tongyang,eq,1,
c_line_variant_var_ex_buy_l02_low_stat_money_lte_50,line_variant,var_ex_buy_l02_low,1,stat,money,lte,50,
c_line_variant_var_ex_short_l02_lev_flag_flag_used_leverage_eq_1,line_variant,var_ex_short_l02_lev,1,flag,flag_used_leverage,eq,1,
c_line_variant_var_home_guide_l04_leak_flag_su_leaks_zhou_info_eq_1,line_variant,var_home_guide_l04_leak,1,flag,su_leaks_zhou_info,eq,1,
c_line_variant_var_dock_chat_l03_hostile_flag_son_hostile_eq_1,line_variant,var_dock_chat_l03_hostile,1,flag,son_hostile,eq,1,
c_ending_ending_b_flag_ending_show_b_eq_1,ending,ending_b,1,flag,ending_show_b,eq,1,须先播公开对立
c_event_ev_low_money_debuff_flag_low_money_eq_1,event,ev_low_money_debuff,1,flag,low_money,eq,1,与阈值旗一致
c_action_ex_white_knight_flag_suspicion_mid_eq_0,action,ex_white_knight,1,flag,suspicion_mid,eq,0,中度嫌疑时资本不愿见你
c_action_ex_buy_flag_low_money_eq_0,action,ex_buy,1,flag,low_money,eq,0,囊中羞涩时难开多
c_action_dock_black_market_flag_suspicion_mid_eq_0,action,dock_black_market,1,flag,suspicion_mid,eq,0,中度嫌疑时私货太险
c_dch_dlg_su_talk_press_flag_son_notices_su_eq_1,dialogue_choice,dch_dlg_su_talk_press,1,flag,son_notices_su,eq,1,少霆盯上后追问才有意义
c_event_ev_b_d9_night_shift_flag_forced_night_shift_eq_1,event,ev_b_d9_night_shift,1,flag,forced_night_shift,eq,1,打压旗落地
c_event_ev_b_public_clash_flag_tension_high_eq_1,event,ev_b_public_clash,1,flag,tension_high,eq,1,与 tension 数值双保险
c_ending_ending_fail_fired_flag_ending_fail_eq_1,ending,ending_fail_fired,1,flag,ending_fail,eq,1,threshold 写入后可读
c_dialogue_choice_dch_dlg_co_eaves_linger_flag_suspicion_light_eq_0,dialogue_choice,dch_dlg_co_eaves_linger,1,flag,suspicion_light,eq,0,已亮轻嫌疑则勿再贴太久
c_dialogue_choice_dch_dlg_ex_buy_ok_flag_flag_holding_short_eq_0,dialogue_choice,dch_dlg_ex_buy_ok,1,flag,flag_holding_short,eq,0,持空时别用开多确认糊弄——引擎还应查仓
c_dialogue_choice_dch_dlg_ex_short_ok_flag_flag_holding_long_eq_0,dialogue_choice,dch_dlg_ex_short_ok,1,flag,flag_holding_long,eq,0,持多时不开空确认
c_action_ex_white_knight_flag_flag_white_knight_eq_0,action,ex_white_knight,1,flag,flag_white_knight,eq,0,已联系则勿重复白衣骑士行动
